,"Pref Vendor","Reorder Pt (Min)","Max","On Hand","On Sales Order","For Assemblies","Available","Order","On PO","Reorder Qty","Next Deliv","Sales/Week"
"Inventory",,,,,,,,,,,,
"LTR16-2953500 (20x9 Booster Hyper Shot, 1997-2003 Ford Trucks 5x135, 0mm offset -...","Custom Wheel Solutions",2129,"",12,0,0,12,"X",12,2106,"09/30/2019",0
"LTR16-2955200 (20x9 Booster Hyper Shot, Classic Ford & Dodge Trucks 5x5 1/2, 0mm ...","Custom Wheel Solutions",2129,"",27,0,0,27,"X",0,2103,,0
"LTR16-2955570 (SLOW...20x9 Booster Hyper Shot, Classic Ford & Dodge Trucks 5x5 1/...","Custom Wheel Solutions",2129,"",19,0,0,19,"X",0,2111,,0
"LTR16-2963500 (SLOW...20x9 Booster Hyper Shot, 2004-up Ford Trucks, 6x135, 0mm of...","Custom Wheel Solutions",2129,"",6,0,0,6,"X",0,2124,,0
"LTR16-2965200 (20x9 Booster Hyper Shot, Classic & Late Model Chevy/GMC Trucks 6x5...","Custom Wheel Solutions",2129,"",38,0,0,38,"X",0,2092,,0
"LTR16-2965570 (SLOW...20x9 Booster Hyper Shot, Classic & Late Model Chevy/GMC Tru...","Custom Wheel Solutions",2129,"",9,0,0,9,"X",15,2106,"09/30/2019",0
"LTR16 (LTR16 - LIGHT TRUCK BOOSTER 6 HYPER SHOT) - Other","Custom Wheel Solutions","","",0,0,0,0,,0,0,,0
"Total LTR16 (LTR16 - LIGHT TRUCK BOOSTER 6 HYPER SHOT)",,,,111,0,0,111,,27,,,0
"LUGS/INSTALL KITS (WHEEL ACCESSORIES:  LUG NUTS AND INSTALL KITS)",,,,,,,,,,,,
"C1002B (7/16' Bullet Acorn Lug Nut)","Topline",500,"",1872,0,0,1872,,0,0,,25.7
"C1002B-SET (7/16' Bullet Acorn Lug Nuts, Set of 20)","Topline",10,"",0,0,0,0,"X",0,11,,0.7
"C1004B (1/2' Bullet Acorn Lug Nut)","Topline",500,"",1117,0,0,1117,,0,0,,18.7
"C1004B-SET (1/2' Bullet Acorn Lug Nuts, Set of 20)","Topline",10,"",0,0,0,0,"X",0,11,,1.6
"C1007B (12mm 1.5' Bullet Acorn Lug Nut)","Topline",500,"",2015,0,0,2015,,0,0,,23.3
"C1007B-SET (12mm 1.5' Bullet Acorn Lug Nuts, Set of 20)","Topline",10,"",1,0,0,1,"X",0,10,,0.2
"C1302B (7/16' Bulge Open End Acorn Lug Nut - 3/4' Hex)","Topline",200,"",1799,0,0,1799,,0,0,,0
"C1302B-SET (7/16' Bulge Open End Acorn Lug Nuts - 3/4' Hex, Set of 20)","Topline",10,"",1,0,0,1,"X",0,10,,0
"C1304B (1/2' Bulge Open End Acorn Lug Nut - 3/4' Hex)","Topline",200,"",1660,0,0,1660,,0,0,,0
"C1304B-SET (1/2' Bulge Open End Acorn Lug Nuts - 3/4' Hex, Set of 20)","Topline",10,"",0,0,0,0,"X",0,11,,0
"C1307B (12mm 1.5' Bulge Open End Acorn Lug Nut - 3/4' Hex)","Topline",200,"",1111,0,0,1111,,0,0,,0
"C1307B-SET (12mm 1.5' Bulge Open End Acorn Lug Nuts - 3/4' Hex, Set of 20)","Topline",10,"",31,0,0,31,,0,0,,0
"C1702B (7/16' Bulge Acorn Lug Nut, BLACK - 3/4' Hex)","Topline",200,"",1016,0,0,1016,,0,0,,0
"C1702B-SET (7/16' Bulge Acorn Lug Nuts, BLACK - 3/4' Hex, Set of 20)","Topline",5,"",0,0,0,0,"X",0,6,,0
"C1702H (7/16' Bulge Acorn Lug Nut, Chrome - 3/4' Hex)","Topline",500,"",2197,0,0,2197,,0,0,,0
"C1702H-SET (7/16' Bulge Acorn Lug Nuts, Chrome - 3/4' Hex, Set of 20)","Topline",10,"",0,0,0,0,"X",0,11,,1.6
"C1704B (1/2' Bulge Acorn Lug Nut, BLACK - 3/4' Hex)","Topline",200,"",1346,0,0,1346,,0,0,,0
"C1704B-SET (1/2' Bulge Acorn Lug Nuts, BLACK - 3/4' Hex, Set of 20)","Topline",5,"",4,0,0,4,"X",0,2,,0
"C1704H (1/2' Bulge Acorn Lug Nut, Chrome - 3/4' Hex)","Topline",500,"",1170,20,0,1150,,0,0,,18
"C1704H-SET (1/2' Bulge Acorn Lug Nuts, Chrome - 3/4' Hex, Set of 20)","Topline",10,"",0,0,0,0,"X",0,11,,8.4
"C1707B (12mm 1.5' Bulge Acorn Lug Nut, BLACK - 3/4' Hex)","Topline",100,"",1246,0,0,1246,,0,0,,0
"C1707B-SET (12mm 1.5' Bulge Acorn Lug Nuts, BLACK - 3/4' Hex, Set of 20)","Topline",5,"",8,0,0,8,,0,0,,0
"C1707H (12mm 1.5' Bulge Acorn Lug Nut, Chrome - 3/4' Hex)","Topline",500,"",1549,0,0,1549,,0,0,,11.4
"C1707H-SET (12mm 1.5' Bulge Acorn Lug Nuts, Chrome - 3/4' Hex, Set of 20)","Topline",10,"",0,0,0,0,"X",0,11,,1.6
"C1709B (14mm 1.5' Bulge Acorn Lug Nut, Black - 3/4' Hex)","Topline",50,"",424,0,0,424,,0,0,,0
