,"Pref Vendor","Reorder Pt (Min)","Max","On Hand","On Sales Order","For Assemblies","Available","Order","On PO","Reorder Qty","Next Deliv","Sales/Week"
"Inventory",,,,,,,,,,,,
"MMR16-296620 (DISCONTINUE...20x9 Booster Hyper Shot, 09-up Challenger & 05-up Cha...","Custom Wheel Solutions",1129,"",5,0,0,5,"X",0,1125,,0
"MMR16-816135 (DISCONTINUE...18x10 Booster Hyper Shot, 93-02 Camaro, 5x4.75, 35mm ...","Custom Wheel Solutions",1181,"",8,0,0,8,"X",0,1174,,0
"MMR16-816525 (DISCONTINUE...18x10 Booster Hyper Shot, 94-04 Mustang, 5x4.50, 25mm...","Custom Wheel Solutions",1181,"",5,0,0,5,"X",0,1177,,0
"MMR16-816540 (DISCONTINUE...18x10 Booster Hyper Shot, 05-up Mustang, 5x4.50, 40mm...","Custom Wheel Solutions",1181,"",12,0,0,12,"X",0,1170,,0
"MMR16-896135 (DISCONTINUE...18x9 Booster Hyper Shot, 93-02 Camaro, 5x4.75, 35mm o...","Custom Wheel Solutions",1189,"",0,0,0,0,"X",0,1190,,0.5
"MMR16-896520 (DISCONTINUE...18x9 Booster Hyper Shot, 94-04 Mustang, 5x4.50, 20mm ...","Custom Wheel Solutions",1189,"",26,0,0,26,"X",0,1164,,0
"MMR16-896530 (DISCONTINUE...18x9 Booster Hyper Shot, 05-up Mustang, 5x4.50, 30mm ...","Custom Wheel Solutions",1189,"",12,0,0,12,"X",0,1178,,0
"MMR16-896620 (DISCONTINUE...18x9 Booster Hyper Shot, 09-up Challenger/Charger, 5x...","Custom Wheel Solutions",1189,"",12,0,0,12,"X",0,1178,,0
"MMR16 (MMR16 - MODERN MUSCLE BOOSTER HYPER SHOT) - Other","Custom Wheel Solutions","","",0,0,0,0,,0,0,,0
"Total MMR16 (MMR16 - MODERN MUSCLE BOOSTER HYPER SHOT)",,,,261,0,0,261,,0,,,1.2
"R106 (R106 - SUNBURST HYPER SHOT)",,,,,,,,,,,,
"R106-570440 (15x7 Sunburst Hyper Shot/Machined  5x4.50/4.75, 4.00 bs with Polishe...","Custom Wheel Solutions",1057,"",0,8,0,-8,"X",48,1010,"05/24/2019",0
"R106-580437 (15x8 Sunburst Hyper Shot/Machined  5x4.50/4.75, 3.75 bs with Polishe...","Custom Wheel Solutions",1058,"",31,0,0,31,"X",0,1028,,0
"R106-580445 (15x8 Sunburst Hyper Shot/Machined  5x4.50/4.75, 4.50 bs with Polishe...","Custom Wheel Solutions",1058,"",51,2,0,49,"X",0,1008,,0.5
"R106 (R106 - SUNBURST HYPER SHOT) - Other","Custom Wheel Solutions","","",0,0,0,0,,0,0,,0
"Total R106 (R106 - SUNBURST HYPER SHOT)",,,,82,10,0,72,,48,,,0.5
"R13 (R13 - BOOSTER GRAY PAINTED)",,,,,,,,,,,,
"R13-2106155 (SLOW...20x10 Booster Gray Painted 5x4.75, 5.50 bs)","Custom Wheel Solutions",121,"",10,0,0,10,"X",0,112,,0
"R13-2106555 (SLOW...20x10 Booster Gray Painted 5x4.50, 5.50 bs)","Custom Wheel Solutions",121,"",9,0,0,9,"X",0,113,,0.5
"R13-2107355 (SLOW...20x10 Booster Gray Painted 5x5.00, 5.50 bs 3.45 cb)","Custom Wheel Solutions",121,"",10,2,0,8,"X",0,112,,0.5
"R13-2856152 (SLOW...20x8.5 Booster Gray Painted 5x4.75, 5.25 bs)","Custom Wheel Solutions",1285,"",11,0,0,11,"X",0,1275,,0
"R13-2856552 (SLOW...20x8.5 Booster Gray Painted 5x4.50, 5.25 bs)","Custom Wheel Solutions",1285,"",19,0,0,19,"X",0,1267,,0
"R13-2857352 (SLOW...20x8.5 Booster Gray Painted 5x5.00, 5.25 bs 3.45 cb)","Custom Wheel Solutions",1285,"",19,2,0,17,"X",0,1267,,1.4
"R13-776142 (17x7 Booster Gray Painted 5x4.75, 4.25 bs)","Custom Wheel Solutions",177,"",7,0,0,7,"X",20,151,"08/06/2019",0.5
"R13-776542 (17x7 Booster Gray Painted 5x4.50, 4.25 bs)","Custom Wheel Solutions",177,"",13,0,0,13,"X",0,165,,1.4
"R13-777342 (SLOW...17X7 Booster Gray Painted 5x5.00, 4.25 bs 3.45 cb)","Custom Wheel Solutions",177,"",22,0,0,22,"X",0,156,,0.5
"R13-786145 (17x8 Booster Gray Painted 5x4.75, 4.50 bs)","Custom Wheel Solutions",178,"",32,0,0,32,"X",0,147,,1.9
"R13-786545 (17x8 Booster Gray Painted 5x4.50, 4.50 bs)","Custom Wheel Solutions",178,"",18,0,0,18,"X",0,161,,0
"R13-787345 (SLOW...17x8 Booster Gray Painted 5x5.00, 4.50 bs 3.45 cb)","Custom Wheel Solutions",178,"",33,0,0,33,"X",0,146,,0
"R13-876145 (18x7 Booster Gray Painted 5x4.75, 4.50 bs)","Custom Wheel Solutions",187,"",12,0,0,12,"X",0,176,,1.9
"R13-876545 (SLOW...18x7 Booster Gray Painted 5x4.50, 4.50 bs)","Custom Wheel Solutions",187,"",2,0,0,2,"X",0,186,,0.5
"R13-877345 (SLOW...18x7 Booster Gray Painted 5x5.00, 4.50 bs 3.45 cb)","Custom Wheel Solutions",187,"",19,0,0,19,"X",0,169,,0
"R13-886147 (18x8 Booster Gray Painted 5x4.75, 4.75 bs)","Custom Wheel Solutions",188,"",22,0,0,22,"X",0,167,,0
"R13-886547 (18x8 Booster Gray Painted 5x4.50, 4.75 bs)","Custom Wheel Solutions",188,"",7,0,0,7,"X",0,182,,0
"R13-887347 (SLOW...18x8 Booster Gray Painted 5x5.00, 4.75 bs  3.45 cb)","Custom Wheel Solutions",188,"",20,0,0,20,"X",0,169,,0
"R13-896152 (18x9 Booster Gray Painted 5x4.75, 5.25 bs)","Custom Wheel Solutions",189,"",14,0,0,14,"X",0,176,,0.5
"R13-896552 (SLOW...18x9 Booster Gray Painted 5x4.50, 5.25 bs)","Custom Wheel Solutions",189,"",11,0,0,11,"X",0,179,,0.9
"R13-897352 (DISCONTINUE...18x9 Booster Gray Painted 5x5.00, 5.25 bs  3.45 cb)","Custom Wheel Solutions",189,"",11,0,0,11,"X",0,179,,0.5
"R13 (R13 - BOOSTER GRAY PAINTED) - Other","Custom Wheel Solutions","","",0,0,0,0,,0,0,,0
"Total R13 (R13 - BOOSTER GRAY PAINTED)",,,,321,4,0,317,,20,,,11
"R14 (R14 - BOOSTER CHROME)",,,,,,,,,,,,
"R14-2106155 (20x10 Booster Chrome 5x4.75, 5.50 bs)","Custom Wheel Solutions",121,"",3,2,0,1,"X",12,107,"08/06/2019",0.5
"R14-2106555 (SLOW...20x10 Booster Chrome 5x4.50, 5.50 bs)","Custom Wheel Solutions",121,"",5,0,0,5,"X",0,117,,0.5
"R14-2107355 (SLOW...20x10 Booster Chrome 5x5.00, 5.50 bs  3.45 cb)","Custom Wheel Solutions",121,"",8,0,0,8,"X",10,104,"08/06/2019",0.5
"R14-2856152 (20x8.5 Booster Chrome 5x4.75, 5.25 bs)","Custom Wheel Solutions",1285,"",36,0,0,36,"X",1,1249,"06/15/2019",1.2
"R14-2856552 (SLOW...20x8.5 Booster Chrome 5x4.50, 5.25 bs)","Custom Wheel Solutions",1285,"",1,0,0,1,"X",0,1285,,0.5
"R14-2857352 (SLOW...20x8.5 Booster Chrome 5x5.00, 5.25 bs  3.45 cb)","Custom Wheel Solutions",1285,"",7,0,0,7,"X",2,1277,"06/15/2019",0.5
"R14-776142 (17x7 Booster Chrome 5x4.75, 4.25 bs)","Custom Wheel Solutions",177,"",0,7,0,-7,"X",38,140,"06/20/2019",0.5
"R14-776542 (17x7 Booster Chrome 5x4.50, 4.25 bs)","Custom Wheel Solutions",177,"",1,0,0,1,"X",20,157,"08/06/2019",0
"R14-777342 (SLOW...17x7 Booster Chrome 5x5.00, 4.25 bs  3.45 cb)","Custom Wheel Solutions",177,"",10,0,0,10,"X",0,168,,0
"R14-786145 (17x8 Booster Chrome 5x4.75, 4.50 bs)","Custom Wheel Solutions",178,"",28,0,0,28,"X",0,151,,1.4
"R14-786545 (SLOW...17x8 Booster Chrome 5x4.50, 4.50 bs)","Custom Wheel Solutions",178,"",5,0,0,5,"X",0,174,,0
"R14-787345 (SLOW...17x8 Booster Chrome 5x5.00, 4.50 bs  3.45 cb)","Custom Wheel Solutions",178,"",11,0,0,11,"X",0,168,,0
"R14-876145 (18x7 Booster Chrome 5x4.75, 4.50 bs)","Custom Wheel Solutions",187,"",11,0,0,11,"X",0,177,,1.6
"R14-876545 (SLOW...18x7 Booster Chrome 5x4.50, 4.50 bs)","Custom Wheel Solutions",187,"",11,0,0,11,"X",0,177,,0.5
"R14-877345 (18x7 Booster Chrome 5x5.00, 4.50 bs  3.45 cb)","Custom Wheel Solutions",187,"",21,0,0,21,"X",0,167,,0
"R14-886147 (18x8 Booster Chrome 5x4.75, 4.75 bs)","Custom Wheel Solutions",188,"",2,0,0,2,"X",11,176,"06/15/2019",0.5
"R14-886547 (18x8 Booster Chrome 5x4.50, 4.75 bs)","Custom Wheel Solutions",188,"",10,0,0,10,"X",0,179,,0
"R14-887347 (18x8 Booster Chrome 5x5.00, 4.75 bs  3.45 cb)","Custom Wheel Solutions",188,"",19,0,0,19,"X",0,170,,-0.2
"R14-896152 (18x9 Booster Chrome 5x4.75, 5.25 bs)","Custom Wheel Solutions",189,"",13,0,0,13,"X",0,177,,0
"R14-896552 (SLOW...18x9 Booster Chrome 5x4.50, 5.25 bs)","Custom Wheel Solutions",189,"",8,0,0,8,"X",0,182,,0.5
"R14-897352 (SLOW...18x9 Booster Chrome 5x5.00, 5.25 bs  3.45 cb)","Custom Wheel Solutions",189,"",9,0,0,9,"X",11,170,"08/06/2019",0
"R14 (R14 - BOOSTER CHROME) - Other","Custom Wheel Solutions","","",0,0,0,0,,0,0,,0
"Total R14 (R14 - BOOSTER CHROME)",,,,219,9,0,210,,105,,,8.5
"R15 (R15 - BOOSTER HYPER SILVER)",,,,,,,,,,,,
"R15-2106155 (SLOW...20x10 Booster Hyper Silver 5x4.75, 5.50 bs)","Custom Wheel Solutions",121,"",16,0,0,16,"X",0,106,,0
"R15-2106555 (SLOW...20x10 Booster Hyper Silver 5x4.50, 5.50 bs)","Custom Wheel Solutions",121,"",1,0,0,1,"X",12,109,"08/06/2019",0
"R15-2107355 (SLOW...20x10 Booster Hyper Silver 5x5.00, 5.50 bs  3.45 cb)","Custom Wheel Solutions",121,"",4,0,0,4,"X",8,110,"08/06/2019",0.5
"R15-2856152 (SLOW...20x8.5 Booster Hyper Silver 5x4.75, 5.25 bs)","Custom Wheel Solutions",1285,"",34,0,0,34,"X",0,1252,,0
"R15-2856552 (SLOW...20x8.5 Booster Hyper Silver 5x4.50, 5.25 bs)","Custom Wheel Solutions",1285,"",23,0,0,23,"X",0,1263,,0
"R15-2857352 (SLOW...20x8.5 Booster Hyper Silver 5x5.00, 5.25 bs  3.45 cb)","Custom Wheel Solutions",1285,"",10,2,0,8,"X",0,1276,,0.5
"R15-776142 (17x7 Booster Hyper Silver 5x4.75, 4.25 bs)","Custom Wheel Solutions",177,"",18,0,0,18,"X",4,156,"06/20/2019",0
"R15-776542 (SLOW...17x7 Booster Hyper Silver 5x4.50, 4.25 bs)","Custom Wheel Solutions",177,"",0,2,0,-2,"X",0,178,,0
"R15-777342 (SLOW...17X7 Booster Hyper Silver 5x5.00, 4.25 bs  3.45 cb)","Custom Wheel Solutions",177,"",3,0,0,3,"X",12,163,"08/06/2019",0
"R15-786145 (17x8 Booster Hyper Silver 5x4.75, 4.50 bs)","Custom Wheel Solutions",178,"",21,0,0,21,"X",0,158,,0
"R15-786545 (17x8 Booster Hyper Silver 5x4.50, 4.50 bs)","Custom Wheel Solutions",178,"",1,6,0,-5,"X",0,178,,0.2
"R15-787345 (17x8 Booster Hyper Silver 5x5.00, 4.50 bs - 3.45 cb - NOTE**CWS Inven...","Custom Wheel Solutions",178,"",5,0,0,5,"X",0,174,,0
"R15-876145 (18x7 Booster Hyper Silver 5x4.75, 4.50 bs)","Custom Wheel Solutions",187,"",14,0,0,14,"X",0,174,,0
"R15-876545 (SLOW...18x7 Booster Hyper Silver 5x4.50, 4.50 bs)","Custom Wheel Solutions",187,"",21,0,0,21,"X",0,167,,0
"R15-877345 (DISCONTINUE...18x7 Booster Hyper Silver 5x5.00, 4.50 bs  3.45 cb)","Custom Wheel Solutions",187,"",12,0,0,12,"X",0,176,,0
"R15-886147 (18x8 Booster Hyper Silver 5x4.75, 4.75 bs)","Custom Wheel Solutions",188,"",29,4,0,25,"X",0,160,,0
"R15-886547 (DISCONTINUE...18x8 Booster Hyper Silver 5x4.50, 4.75 bs- NOTE**CWS In...","Custom Wheel Solutions",188,"",28,0,0,28,"X",0,161,,0
"R15-887347 (18x8 Booster Hyper Silver 5x5.00, 4.75 bs  3.45 cb)","Custom Wheel Solutions",188,"",2,0,0,2,"X",0,187,,0
"R15-896152 (18x9 Booster Hyper Silver 5x4.75, 5.25 bs)","Custom Wheel Solutions",189,"",11,0,0,11,"X",12,167,"08/06/2019",0
"R15-896552 (SLOW...18x9 Booster Hyper Silver 5x4.50, 5.25 bs)","Custom Wheel Solutions",189,"",2,0,0,2,"X",0,188,,0
"R15-897352 (SLOW...18x9 Booster Hyper Silver 5x5.00, 5.25 bs  3.45 cb)","Custom Wheel Solutions",189,"",9,0,0,9,"X",0,181,,0
"R15 (R15 - BOOSTER HYPER SILVER) - Other","Custom Wheel Solutions","","",0,0,0,0,,0,0,,0
"Total R15 (R15 - BOOSTER HYPER SILVER)",,,,264,14,0,250,,48,,,1.2
"R16 (R16 - BOOSTER HYPER SHOT)",,,,,,,,,,,,
"R16-2106155 (20x10 Booster Hyper Shot 5x4.75, 5.50 bs SLOW)","Custom Wheel Solutions",121,"",33,0,0,33,"X",0,89,,0
"R16-2106555 (20x10 Booster Hyper Shot 5x4.50, 5.50 bs  SLOW)","Custom Wheel Solutions",121,"",30,0,0,30,"X",0,92,,0
"R16-2107355 (SLOW...20x10 Booster Hyper Shot 5x5.00, 5.50 bs 3.45 cb)","Custom Wheel Solutions",121,"",0,0,0,0,"X",20,102,"08/06/2019",0
"R16-2856152 (SLOW...20x8.5 Booster Hyper Shot 5x4.75, 5.25 bs)","Custom Wheel Solutions",1285,"",10,0,0,10,"X",0,1276,,1.2
"R16-2856552 (SLOW...20x8.5 Booster Hyper Shot 5x4.50, 5.25 bs)","Custom Wheel Solutions",1285,"",13,0,0,13,"X",0,1273,,0
"R16-2857352 (20x8.5 Booster Hyper Shot 5x5.00, 5.25 bs  3.45 cb)","Custom Wheel Solutions",1285,"",22,0,0,22,"X",0,1264,,1.9
"R16-776142 (17x7 Booster Hyper Shot 5x4.75, 4.25 bs)","Custom Wheel Solutions",177,"",28,0,0,28,"X",9,141,"08/06/2019",2.3
"R16-776542 (17x7 Booster Hyper Shot 5x4.50, 4.25 bs)","Custom Wheel Solutions",177,"",0,0,0,0,"X",12,166,"08/06/2019",0
"R16-777342 (SLOW...17X7 Booster Hyper Shot 5x5.00, 4.25 bs  3.45 cb)","Custom Wheel Solutions",177,"",14,0,0,14,"X",0,164,,0
"R16-786145 (17x8 Booster Hyper Shot 5x4.75, 4.50 bs)","Custom Wheel Solutions",178,"",15,4,0,11,"X",0,164,,1.4
"R16-786545 (SLOW...17x8 Booster Hyper Shot 5x4.50, 4.50 bs)","Custom Wheel Solutions",178,"",25,0,0,25,"X",0,154,,0.7
"R16-787345 (SLOW...17x8 Booster Hyper Shot 5x5.00, 4.50 bs  3.45 cb)","Custom Wheel Solutions",178,"",8,0,0,8,"X",0,171,,0
"R16-876145 (18x7 Booster Hyper Shot 5x4.75, 4.50 bs)","Custom Wheel Solutions",187,"",9,0,0,9,"X",0,179,,1.4
"R16-876545 (18x7 Booster Hyper Shot 5x4.50, 4.50 bs)","Custom Wheel Solutions",187,"",42,0,0,42,"X",0,146,,0
"R16-877345 (DISCONTINUE...18x7 Booster Hyper Shot 5x5.00, 4.50 bs 3.45 cb - NOTE*...","Custom Wheel Solutions",187,"",24,0,0,24,"X",0,164,,0
"R16-886147 (18x8 Booster Hyper Shot 5x4.75, 4.75 bs)","Custom Wheel Solutions",188,"",3,0,0,3,"X",50,136,"06/15/2019",0.5
"R16-886547 (18x8 Booster Hyper Shot 5x4.50, 4.75 bs)","Custom Wheel Solutions",188,"",8,0,0,8,"X",0,181,,0
"R16-887347 (18x8 Booster Hyper Shot 5x5.00, 4.75 bs  3.45 cb)","Custom Wheel Solutions",188,"",25,0,0,25,"X",0,164,,0
"R16-896152 (18x9 Booster Hyper Shot 5x4.75, 5.25 bs)","Custom Wheel Solutions",189,"",0,2,0,-2,"X",24,166,"08/06/2019",0
"R16-896552 (SLOW...18x9 Booster Hyper Shot 5x4.50, 5.25 bs)","Custom Wheel Solutions",189,"",12,2,0,10,"X",0,178,,0
"R16-897352 (18x9 Booster Hyper Shot 5x5.00, 5.25 bs  3.45 cb)","Custom Wheel Solutions",189,"",24,0,0,24,"X",0,166,,0
"R16 (R16 - BOOSTER HYPER SHOT) - Other","Custom Wheel Solutions","","",0,0,0,0,,0,0,,0
"Total R16 (R16 - BOOSTER HYPER SHOT)",,,,345,8,0,337,,115,,,9.4
"R21 (R21 - FUEL POLISHED)",,,,,,,,,,,,
"R21-516140 (15x10 Fuel Polished 5x4.75, 4.00 bs)","Custom Wheel Solutions",251,"",26,0,0,26,"X",0,226,,0.7
"R21-516540 (15x10 Fuel Polished 5x4.50, 4.00 bs)","Custom Wheel Solutions",251,"",11,0,0,11,"X",24,217,"08/06/2019",0.5
"R21-546115 (15x4 Fuel Polished 5x4.75, 1.50 bs)","Custom Wheel Solutions",254,"",28,2,0,26,"X",16,211,"08/06/2019",0.9
"R21-546515 (15x4 Fuel Polished 5x4.50, 1.50 bs)","Custom Wheel Solutions",254,"",31,0,0,31,"X",0,224,,0
"R21-566135 (15x6 Fuel Polished 5x4.75, 3.50 bs)","Custom Wheel Solutions",256,"",2,0,0,2,"X",22,233,"08/06/2019",0.5
"R21-566535 (15x6 Fuel Polished 5x4.50, 3.50 bs)","Custom Wheel Solutions",256,"",14,0,0,14,"X",0,243,,0
"R21-576142 (15x7 Fuel Polished 5x4.75, 4.25 bs)","Custom Wheel Solutions",257,"",23,2,0,21,"X",0,235,,0.9
"R21-576542 (15x7 Fuel Polished 5x4.50, 4.25 bs)","Custom Wheel Solutions",257,"",26,0,0,26,"X",1,231,"06/20/2019",0
"R21-586137 (15x8 Fuel Polished 5x4.75, 3.75 bs)","Custom Wheel Solutions",25837,"",15,0,0,15,"X",0,25823,,2.3
"R21-586145 (15x8 Fuel Polished 5x4.75, 4.50 bs)","Custom Wheel Solutions",25845,"",0,3,0,-3,"X",20,25826,"08/06/2019",0
"R21-586537 (SLOW...15x8 Fuel Polished 5x4.50, 3.75 bs)","Custom Wheel Solutions",25837,"",7,0,0,7,"X",0,25831,,0.5
"R21-586545 (15x8 Fuel Polished 5x4.50, 4.50 bs)","Custom Wheel Solutions",25845,"",15,0,0,15,"X",9,25822,"08/06/2019",0
"R21-776142 (17x7 Fuel Polished 5x4.75, 4.25 bs)","Custom Wheel Solutions",277,"",48,0,0,48,"X",0,230,,0
"R21-776542 (SLOW...17x7 Fuel Polished 5x4.50, 4.25 bs)","Custom Wheel Solutions",277,"",26,0,0,26,"X",0,252,,0
"R21-777342 (17x7 Fuel Polished 5x5.00, 4.25 bs  3.45 cb)","Custom Wheel Solutions",277,"",26,0,0,26,"X",0,252,,0
"R21-786145 (17x8 Fuel Polished 5x4.75, 4.50 bs)","Custom Wheel Solutions",278,"",48,0,0,48,"X",0,231,,0
"R21-786545 (SLOW...17x8 Fuel Polished 5x4.50, 4.50 bs)","Custom Wheel Solutions",278,"",19,0,0,19,"X",0,260,,0
"R21-787345 (SLOW...17x8 Fuel Polished 5x5.00, 4.50 bs  3.45 cb)","Custom Wheel Solutions",278,"",30,0,0,30,"X",0,249,,0
"R21 (R21 - FUEL POLISHED) - Other","Custom Wheel Solutions","","",0,0,0,0,,0,0,,0
"Total R21 (R21 - FUEL POLISHED)",,,,395,7,0,388,,92,,,6.3
"R23 (R23 - FUEL GRAY PAINTED)",,,,,,,,,,,,
"R23-516140 (15x10 Fuel Gray Painted 5x4.75, 4.00 bs)","Custom Wheel Solutions",251,"",8,0,0,8,"X",0,244,,2.3
"R23-516540 (15x10 Fuel Gray Painted 5x4.50, 4.00 bs)","Custom Wheel Solutions",251,"",18,0,0,18,"X",0,234,,0
"R23-546115 (15x4 Fuel Gray Painted 5x4.75, 1.50 bs)","Custom Wheel Solutions",254,"",0,6,0,-6,"X",18,237,"08/06/2019",0.5
"R23-546515 (15x4 Fuel Gray Painted 5x4.50, 1.50 bs)","Custom Wheel Solutions",254,"",1,8,0,-7,"X",20,234,"08/06/2019",0.9
"R23-566135 (15x6 Fuel Gray Painted 5x4.75, 3.50 bs)","Custom Wheel Solutions",256,"",18,0,0,18,"X",1,238,"06/15/2019",0
"R23-566535 (15x6 Fuel Gray Painted 5x4.50, 3.50 bs)","Custom Wheel Solutions",256,"",24,0,0,24,"X",22,211,"08/06/2019",0.9
"R23-576142 (15x7 Fuel Gray Painted 5x4.75, 4.25 bs)","Custom Wheel Solutions",257,"",7,0,0,7,"X",5,246,"08/06/2019",3.7
"R23-576542 (15x7 Fuel Gray Painted 5x4.50, 4.25 bs)","Custom Wheel Solutions",257,"",34,0,0,34,"X",0,224,,1.9
"R23-586137 (15x8 Fuel Gray Painted 5x4.75, 3.75 bs)","Custom Wheel Solutions",25837,"",20,0,0,20,"X",0,25818,,0
"R23-586145 (15x8 Fuel Gray Painted 5x4.75, 4.50 bs)","Custom Wheel Solutions",25845,"",9,0,0,9,"X",9,25828,"08/06/2019",1.4
"R23-586537 (SLOW...15x8 Fuel Gray Painted 5x4.50, 3.75 bs)","Custom Wheel Solutions",25837,"",16,0,0,16,"X",0,25822,,0
"R23-586545 (15x8 Fuel Gray Painted 5x4.50, 4.50 bs)","Custom Wheel Solutions",25845,"",23,0,0,23,"X",0,25823,,0.9
"R23-776142 (17x7 Fuel Gray Painted 5x4.75, 4.25 bs)","Custom Wheel Solutions",277,"",23,0,0,23,"X",4,251,"06/20/2019",0
"R23-776542 (SLOW...17x7 Fuel Gray Painted 5x4.50, 4.25 bs)","Custom Wheel Solutions",277,"",3,0,0,3,"X",0,275,,0.5
"R23-777342 (SLOW...17x7 Fuel Gray Painted 5x5.00, 4.25 bs  3.45 cb)","Custom Wheel Solutions",277,"",13,0,0,13,"X",0,265,,0
"R23-786145 (17x8 Fuel Gray Painted 5x4.75, 4.50 bs)","Custom Wheel Solutions",278,"",1,0,0,1,"X",28,250,"09/30/2019",0
"R23-786545 (SLOW...17x8 Fuel Gray Painted 5x4.50, 4.50 bs)","Custom Wheel Solutions",278,"",19,0,0,19,"X",0,260,,0
"R23-787345 (SLOW...17x8 Fuel Gray Painted 5x5.00, 4.50 bs  3.45 cb)","Custom Wheel Solutions",278,"",22,0,0,22,"X",0,257,,0
"R23 (R23 - FUEL GRAY PAINTED) - Other","Custom Wheel Solutions","","",0,0,0,0,,0,0,,0
"Total R23 (R23 - FUEL GRAY PAINTED)",,,,259,14,0,245,,107,,,13
"R24 (R24 - FUEL CHROME)",,,,,,,,,,,,
"R24-516140 (15x10 Fuel Chrome 5x4.75, 4.00 bs)","Custom Wheel Solutions",251,"",3,0,0,3,"X",24,225,"08/06/2019",0.5
"R24-516540 (15x10 Fuel Chrome 5x4.50, 4.00 bs)","Custom Wheel Solutions",251,"",35,0,0,35,"X",0,217,,0
"R24-546115 (15x4 Fuel Chrome 5x4.75, 1.50 bs)","Custom Wheel Solutions",254,"",11,2,0,9,"X",25,219,"05/24/2019",1.4
"R24-546515 (15x4 Fuel Chrome 5x4.50, 1.50 bs)","Custom Wheel Solutions",254,"",9,0,0,9,"X",4,242,"05/24/2019",1.9
"R24-566135 (15x6 Fuel Chrome 5x4.75, 3.50 bs)","Custom Wheel Solutions",256,"",16,0,0,16,"X",12,229,"05/24/2019",0.5
"R24-566535 (15x6 Fuel Chrome 5x4.50, 3.50 bs)","Custom Wheel Solutions",256,"",13,0,0,13,"X",0,244,,0
"R24-576142 (15x7 Fuel Chrome 5x4.75, 4.25 bs)","Custom Wheel Solutions",257,"",13,0,0,13,"X",21,224,"06/15/2019",0.9
"R24-576542 (15x7 Fuel Chrome 5x4.50, 4.25 bs)","Custom Wheel Solutions",257,"",18,0,0,18,"X",0,240,,0.9
"R24-586137 (15x8 Fuel Chrome 5x4.75, 3.75 bs)","Custom Wheel Solutions",25837,"",15,0,0,15,"X",0,25823,,1.4
"R24-586145 (15x8 Fuel Chrome 5x4.75, 4.50 bs)","Custom Wheel Solutions",25845,"",1,2,0,-1,"X",52,25793,"05/24/2019",0
"R24-586537 (15x8 Fuel Chrome 5x4.50, 3.75 bs)","Custom Wheel Solutions",25837,"",10,0,0,10,"X",0,25828,,0.5
"R24-586545 (15x8 Fuel Chrome 5x4.50, 4.50 bs)","Custom Wheel Solutions",25845,"",22,0,0,22,"X",3,25821,"05/24/2019",0
"R24-776142 (SLOW...17x7 Fuel Chrome 5x4.75, 4.25 bs)","Custom Wheel Solutions",277,"",1,0,0,1,"X",24,253,"06/20/2019",0
"R24-776542 (SLOW...17x7 Fuel Chrome 5x4.50, 4.25 bs- NOTE**CWS Inventory - qty 16)","Custom Wheel Solutions",277,"",4,2,0,2,"X",0,274,,0
"R24-777342 (17x7 Fuel Chrome 5x5.00, 4.25 bs  3.45 cb)","Custom Wheel Solutions",277,"",24,0,0,24,"X",0,254,,0
"R24-786145 (SLOW...17x8 Fuel Chrome 5x4.75, 4.50 bs)","Custom Wheel Solutions",278,"",4,0,0,4,"X",0,275,,0
"R24-786545 (SLOW...17x8 Fuel Chrome 5x4.50, 4.50 bs)","Custom Wheel Solutions",278,"",16,2,0,14,"X",0,263,,0
"R24-787345 (SLOW...17x8 Fuel Chrome 5x5.00, 4.50 bs  3.45 cb)","Custom Wheel Solutions",278,"",8,0,0,8,"X",0,271,,0
"R24 (R24 - FUEL CHROME) - Other","Custom Wheel Solutions","","",0,0,0,0,,0,0,,0
"Total R24 (R24 - FUEL CHROME)",,,,223,8,0,215,,165,,,8
"R30 (R30 - IGNITER AS CAST)",,,,,,,,,,,,
"R30-566135 (15x6 Igniter As Cast 5x4.75, 3.50 bs)","Custom Wheel Solutions",356,"",4,0,0,4,"X",0,353,,0
"R30-566535 (15x6 Igniter As Cast 5x4.50, 3.50 bs)","Custom Wheel Solutions",356,"",6,0,0,6,"X",0,351,,0
"R30-576142 (SLOW...15x7 Igniter As Cast 5x4.75, 4.25 bs)","Custom Wheel Solutions",357,"",13,0,0,13,"X",0,345,,0
"R30-576542 (SLOW...15x7 Igniter As Cast 5x4.50, 4.25 bs)","Custom Wheel Solutions",357,"",14,0,0,14,"X",0,344,,0
"R30-586137 (SLOW...15x8 Igniter As Cast 5x4.75, 3.75 bs)","Custom Wheel Solutions",358,"",18,0,0,18,"X",0,341,,0.5
"R30-586537 (SLOW...15x8 Igniter As Cast 5x4.50, 3.75 bs)","Custom Wheel Solutions",358,"",39,0,0,39,"X",0,320,,0
"R30-646120 (SLOW...16x4.5 Igniter As Cast 5x4.75, 2.00 bs)","Custom Wheel Solutions",3645,"",12,0,0,12,"X",0,3634,,0
"R30-646520 (16x4.5 Igniter As Cast 5x4.50, 2.00 bs)","Custom Wheel Solutions",3645,"",17,0,0,17,"X",0,3629,,0
"R30-648520 (16x4.5 Igniter As Cast 5x5.50, 2.00 bs - 3.45 cb)","Custom Wheel Solutions",3645,"",20,0,0,20,"X",0,3626,,0
"R30-666135 (SLOW...16x6 Igniter As Cast 5x4.75, 3.50 bs)","Custom Wheel Solutions",366,"",14,0,0,14,"X",0,353,,0
